Raw Data
Datetime,Burro Pass Trail
7/9/2002 0:00:00,12.93
7/9/2002 1:00:00,12.23
7/9/2002 2:00:00,12.48
7/9/2002 3:00:00,11.58
7/9/2002 4:00:00,11.58
7/9/2002 5:00:00,11.38
7/9/2002 6:00:00,11.97
7/9/2002 7:00:00,12.68
7/9/2002 8:00:00,14.92
7/9/2002 9:00:00,15.43
7/9/2002 10:00:00,16.76
7/9/2002 11:00:00,18.22
7/9/2002 12:00:00,18.47
7/9/2002 13:00:00,18.98
7/9/2002 14:00:00,19.62
7/9/2002 15:00:00,17.58
7/9/2002 16:00:00,18.47
7/9/2002 17:00:00,19.94
7/9/2002 18:00:00,19.43
7/9/2002 19:00:00,16.7
7/9/2002 20:00:00,14.66
7/9/2002 21:00:00,13.0
7/9/2002 22:00:00,13.0
7/9/2002 23:00:00,12.93
7/10/2002 0:00:00,13.32
7/10/2002 1:00:00,13.19
7/10/2002 2:00:00,12.1
7/10/2002 3:00:00,10.93
7/10/2002 4:00:00,10.02
7/10/2002 5:00:00,10.54
7/10/2002 6:00:00,10.34
7/10/2002 7:00:00,11.58
7/10/2002 8:00:00,12.68
7/10/2002 9:00:00,13.9
7/10/2002 10:00:00,15.23
7/10/2002 11:00:00,16.82
7/10/2002 12:00:00,17.27
7/10/2002 13:00:00,17.84
7/10/2002 14:00:00,19.11
7/10/2002 15:00:00,20.13
7/10/2002 16:00:00,18.66
7/10/2002 17:00:00,18.91
7/10/2002 18:00:00,15.55
7/10/2002 19:00:00,14.79
7/10/2002 20:00:00,14.53
7/10/2002 21:00:00,12.68
7/10/2002 22:00:00,12.1
7/10/2002 23:00:00,11.97
7/11/2002 0:00:00,12.03
7/11/2002 1:00:00,10.67
7/11/2002 2:00:00,10.6
7/11/2002 3:00:00,10.41
7/11/2002 4:00:00,10.15
7/11/2002 5:00:00,9.55
7/11/2002 6:00:00,9.23
7/11/2002 7:00:00,9.82
7/11/2002 8:00:00,13.57
7/11/2002 9:00:00,14.15
7/11/2002 10:00:00,15.81
7/11/2002 11:00:00,17.65
7/11/2002 12:00:00,17.58
