Date Time,Avg: H08 Temp. (°C) LGR S/N: 533560 c:1
09/05/14 06:00:00,11.77
09/05/14 07:00:00,10.21
09/05/14 08:00:00,11.77
09/05/14 09:00:00,13.12
09/05/14 10:00:00,12.93
09/05/14 11:00:00,12.41
09/05/14 12:00:00,12.68
09/05/14 13:00:00,12.16
09/05/14 14:00:00,12.16
09/05/14 15:00:00,12.42
09/05/14 16:00:00,11.96
09/05/14 17:00:00,10.34
09/05/14 18:00:00,9.36
09/05/14 19:00:00,9.03
09/05/14 20:00:00,9.16
09/05/14 21:00:00,9.09
09/05/14 22:00:00,9.03
09/05/14 23:00:00,9.55
09/06/14 00:00:00,9.22
09/06/14 01:00:00,9.55
09/06/14 02:00:00,9.42
09/06/14 03:00:00,9.03
09/06/14 04:00:00,8.30
09/06/14 05:00:00,8.30
09/06/14 06:00:00,9.88
09/06/14 07:00:00,11.57
09/06/14 08:00:00,12.41
09/06/14 09:00:00,11.12
09/06/14 10:00:00,12.16
09/06/14 11:00:00,12.61
09/06/14 12:00:00,12.61
09/06/14 13:00:00,14.28
09/06/14 14:00:00,14.60
09/06/14 15:00:00,13.90
09/06/14 16:00:00,12.35
09/06/14 17:00:00,10.60
09/06/14 18:00:00,10.60
09/06/14 19:00:00,10.01
09/06/14 20:00:00,9.88
09/06/14 21:00:00,9.68
09/06/14 22:00:00,10.21
09/06/14 23:00:00,10.21
09/07/14 00:00:00,10.21
09/07/14 01:00:00,10.21
09/07/14 02:00:00,10.21
09/07/14 03:00:00,10.27
09/07/14 04:00:00,9.42
09/07/14 05:00:00,9.95
09/07/14 06:00:00,9.22
09/07/14 07:00:00,10.14
09/07/14 08:00:00,13.25
09/07/14 09:00:00,12.87
09/07/14 10:00:00,13.64
09/07/14 11:00:00,13.77
09/07/14 12:00:00,14.79
09/07/14 13:00:00,13.32
09/07/14 14:00:00,13.76
09/07/14 15:00:00,13.25
09/07/14 16:00:00,12.42
09/07/14 17:00:00,11.31
09/07/14 18:00:00,10.60
09/07/14 19:00:00,10.54
09/07/14 20:00:00,10.21
09/07/14 21:00:00,10.01
09/07/14 22:00:00,9.42
09/07/14 23:00:00,9.55
09/08/14 00:00:00,10.01
09/08/14 01:00:00,9.36
09/08/14 02:00:00,8.23
09/08/14 03:00:00,8.03
09/08/14 04:00:00,8.36
09/08/14 05:00:00,8.23
09/08/14 06:00:00,8.70
09/08/14 07:00:00,9.88
09/08/14 08:00:00,10.21
09/08/14 09:00:00,10.01
09/08/14 10:00:00,9.62
09/08/14 11:00:00,9.36
09/08/14 12:00:00,9.36
09/08/14 13:00:00,9.95
09/08/14 14:00:00,9.42
09/08/14 15:00:00,9.22
09/08/14 16:00:00,9.03
09/08/14 17:00:00,9.03
